,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.6854285134144189,0.8902548650569815,0.9939146824610462,0.9861452132631948,0.9999999999999999,1.0
μ=0_σ=2,,0.9350200136760067,0.9631005053000671,0.9790468869932717,1.0,1.0
μ=2_σ=1,,,0.7151129960438439,0.9202355536373611,0.9965275301331279,0.9867023076096005
μ=2_σ=2,,,,0.9325800054619767,0.9901876128876287,0.9791459252582057
μ=4_σ=1,,,,,0.7086797260600851,0.91552588215046
μ=4_σ=2,,,,,,0.9352311540428051
