,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.8932888227669952,0.9739113284661002,0.9959316090778608,0.9985647368703265,1.0,1.0
μ=0_σ=2,,0.9795728188113176,0.9978305652461334,0.9827280076535972,1.0,0.9999999999999999
μ=2_σ=1,,,0.8909860834486278,0.9731145367041382,1.0,1.0
μ=2_σ=2,,,,0.9941451668927603,0.991256733739032,0.9826544256522187
μ=4_σ=1,,,,,0.8684195582971103,0.9659484360413623
μ=4_σ=2,,,,,,0.9835854249551809
