,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.8113461086851924,0.9716843038284284,0.995649454796133,0.9954363892030794,1.0,1.0
μ=0_σ=2,,0.9732836725074585,0.9972426374233019,0.985219659733769,1.0,0.9999999999999999
μ=2_σ=1,,,0.831917308743577,0.962613168723755,0.9945920113132938,0.9902165006732307
μ=2_σ=2,,,,0.9776179162111466,0.9972412355848544,0.9929501085743586
μ=4_σ=1,,,,,0.8502493572463271,0.9513764578300411
μ=4_σ=2,,,,,,0.9681880686151557
