,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.9698653179494072,1.0,1.0,1.0,1.0,1.0
μ=0_σ=2,,0.9897393724171557,1.0,0.9999999999999999,0.9999999999999999,1.0
μ=2_σ=1,,,0.9624785143108644,0.9885336516938487,1.0,1.0
μ=2_σ=2,,,,1.0,1.0,1.0
μ=4_σ=1,,,,,0.9758124920756821,1.0
μ=4_σ=2,,,,,,0.9912085107521194
