,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.9590830134847805,0.990869864081513,1.0,1.0,1.0,1.0
μ=0_σ=2,,1.0,1.0,1.0,1.0,1.0
μ=2_σ=1,,,0.9628031601442774,1.0,1.0,1.0
μ=2_σ=2,,,,0.9999999999999999,0.9999999999999999,0.9999999999999999
μ=4_σ=1,,,,,0.8521555884948318,1.0
μ=4_σ=2,,,,,,1.0
