,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.26222546051417434,0.6733836929091453,0.9842386970285187,0.9622296298024222,1.0,0.9995599012355396
μ=0_σ=2,,0.5392975674367496,0.9366320536792079,0.8852108652432705,0.9995902813334976,0.9969266970664706
μ=2_σ=1,,,0.2738651672751986,0.6803601820494862,0.9866153010357667,0.9614486734152701
μ=2_σ=2,,,,0.5476705629099731,0.9410412025761131,0.8867741736964858
μ=4_σ=1,,,,,0.26118584361604935,0.6946527579702169
μ=4_σ=2,,,,,,0.5427071480068008
