,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.7858177431163732,0.9439647694089025,0.9989062341969933,0.9983421869237925,1.0,1.0
μ=0_σ=2,,0.9605747881757765,0.9926480975067253,0.981445567916734,1.0,1.0
μ=2_σ=1,,,0.8230183425817545,0.9444482208743642,0.9969600711737938,1.0
μ=2_σ=2,,,,0.9658540273849219,0.9900527419567738,0.9806530254605713
μ=4_σ=1,,,,,0.8329585493701537,0.9468646523804428
μ=4_σ=2,,,,,,0.9681053264011112
