,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.8760620386152713,0.9464888782113909,1.0,0.9946302132881716,0.9999999999999999,1.0
μ=0_σ=2,,0.9675003272886389,0.9975250794431616,0.997615576876389,1.0,1.0
μ=2_σ=1,,,0.8595523695915622,0.9756661706610146,0.9999999999999999,0.9985572264185016
μ=2_σ=2,,,,0.9920191635444444,0.9970342054506369,0.9971285899287236
μ=4_σ=1,,,,,0.9244651556202209,0.9611448708456679
μ=4_σ=2,,,,,,0.9880141076952179
