,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.7449992347710638,0.8888906913515345,0.9957720207690229,0.9925732569594506,1.0,0.99892422547806
μ=0_σ=2,,0.9334434294473083,0.984914172904184,0.9859747570612454,1.0,0.9989823711378475
μ=2_σ=1,,,0.7468326543660739,0.9254199789794406,0.9964860474048051,0.98920447380391
μ=2_σ=2,,,,0.9156284230731774,0.9768550971620739,0.9724938528459207
μ=4_σ=1,,,,,0.7437727087838789,0.8856932160170427
μ=4_σ=2,,,,,,0.9466017533466514
