,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.9488735387572959,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0
μ=0_σ=2,,1.0,1.0,0.9892385996319221,0.9999999999999999,1.0
μ=2_σ=1,,,0.879135579601579,1.0,1.0,0.9999999999999999
μ=2_σ=2,,,,1.0,0.9876419538421551,0.9999999999999999
μ=4_σ=1,,,,,0.9883652815064711,0.9863809530315822
μ=4_σ=2,,,,,,1.0
