,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.08066689331057779,0.6582772225691497,0.9915656010980505,0.9656513223826767,0.9999993617542428,0.9996982577622123
μ=0_σ=2,,0.190629372995882,0.9313797687926522,0.8407197359071791,0.999298323779245,0.9928331535205471
μ=2_σ=1,,,0.08091956927516746,0.6607339806651609,0.9916763981428248,0.966265036303513
μ=2_σ=2,,,,0.18928604446398467,0.9313465097294477,0.8419675245346403
μ=4_σ=1,,,,,0.08101919629716854,0.6564800987342185
μ=4_σ=2,,,,,,0.1935013765365521
