,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.9299594592120991,0.9690562918034825,1.0,1.0,1.0,1.0
μ=0_σ=2,,1.0,0.9853335179434842,0.9892336210363681,0.9999999999999999,1.0
μ=2_σ=1,,,0.9279251897093715,1.0,1.0,0.9999999999999999
μ=2_σ=2,,,,0.9999999999999999,0.9999999999999999,1.0
μ=4_σ=1,,,,,0.9545513506286524,0.9892342740826823
μ=4_σ=2,,,,,,1.0
