,μ=0_σ=1,μ=0_σ=2,μ=2_σ=1,μ=2_σ=2,μ=4_σ=1,μ=4_σ=2
μ=0_σ=1,0.9498693338637391,0.9903395338166078,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999
μ=0_σ=2,,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0
μ=2_σ=1,,,0.9812571648731807,1.0,1.0,1.0
μ=2_σ=2,,,,1.0,1.0,1.0
μ=4_σ=1,,,,,0.9412479696128042,1.0
μ=4_σ=2,,,,,,1.0
